session_date,channel_id,sessions,add_to_carts,checkouts,conversions
2026-01-31,2,1587,246,111,47
2026-01-31,3,619,84,42,29
2026-01-31,4,866,107,59,38
2026-01-31,5,433,65,35,10
2026-01-31,6,1025,106,63,35
2026-02-01,1,1809,182,94,54
2026-02-01,2,1657,177,87,41
2026-02-01,3,602,92,44,25
2026-02-01,4,875,99,45,32
2026-02-01,5,598,64,28,15
2026-02-01,6,1022,116,53,38
2026-02-02,1,1797,244,138,58
2026-02-02,2,1833,210,99,49
2026-02-02,3,605,94,55,31
2026-02-02,4,981,115,53,40
2026-02-02,5,441,45,21,11
2026-02-02,6,1029,106,50,41
2026-02-03,1,1819,250,141,57
2026-02-03,2,1496,209,118,42
2026-02-03,3,613,79,36,28
2026-02-03,4,1039,128,59,37
2026-02-03,5,489,57,27,15
2026-02-03,6,1298,148,78,44
2026-02-04,1,1476,155,83,41
2026-02-04,2,1414,188,100,38
2026-02-04,3,737,84,49,33
2026-02-04,4,708,111,65,33
2026-02-04,5,492,72,39,15
2026-02-04,6,1321,161,87,45
2026-02-05,1,1974,288,133,75
2026-02-05,2,1288,139,68,37
2026-02-05,3,574,67,31,31
2026-02-05,4,879,108,51,39
2026-02-05,5,539,55,25,16
2026-02-05,6,1276,127,68,44
2026-02-06,1,1775,216,98,57
2026-02-06,2,1547,180,91,45
2026-02-06,3,571,59,33,26
2026-02-06,4,995,113,65,39
2026-02-06,5,597,80,39,17
2026-02-06,6,1068,161,83,41
2026-02-07,1,1901,274,129,62
2026-02-07,2,1724,273,156,53
2026-02-07,3,662,102,59,32
2026-02-07,4,951,117,64,33
2026-02-07,5,422,60,27,10
2026-02-07,6,1059,123,56,35
2026-02-08,1,2029,270,136,64
2026-02-08,2,1415,187,98,40
2026-02-08,3,774,86,45,39
2026-02-08,4,744,74,40,34
2026-02-08,5,576,84,40,17
2026-02-08,6,940,144,75,32
2026-02-09,1,1791,237,112,51
2026-02-09,2,1354,154,78,35
2026-02-09,3,579,76,41,31
2026-02-09,4,974,112,65,37
2026-02-09,5,547,68,34,15
2026-02-09,6,1047,116,55,34
2026-02-10,1,1888,218,99,55
2026-02-10,2,1654,261,126,55
2026-02-10,3,750,83,44,37
2026-02-10,4,980,144,73,45
2026-02-10,5,431,55,27,11
2026-02-10,6,1252,126,75,55
2026-02-11,1,1983,276,153,56
2026-02-11,2,1685,179,95,46
2026-02-11,3,545,68,34,24
2026-02-11,4,881,137,74,34
2026-02-11,5,420,53,30,11
2026-02-11,6,1279,136,71,40
2026-02-12,1,1440,185,97,42
2026-02-12,2,1370,219,127,43
2026-02-12,3,632,81,39,31
2026-02-12,4,729,105,60,32
2026-02-12,5,473,56,25,13
2026-02-12,6,995,157,80,42
2026-02-13,1,1855,261,124,65
2026-02-13,2,1707,210,103,51
2026-02-13,3,726,90,50,41
2026-02-13,4,814,117,56,35
2026-02-13,5,470,49,28,14
2026-02-13,6,953,151,79,35
2026-02-14,1,1866,279,148,63
2026-02-14,2,1423,217,108,45
2026-02-14,3,751,78,42,34
2026-02-14,4,714,93,44,25
2026-02-14,5,474,60,27,13
2026-02-14,6,1076,125,63,38
2026-02-15,1,1687,239,118,63
2026-02-15,2,1181,165,93,31
2026-02-15,3,573,69,33,28
2026-02-15,4,950,137,76,35
2026-02-15,5,468,69,37,14
2026-02-15,6,1186,144,65,42
2026-02-16,1,1839,280,167,70
2026-02-16,2,1617,241,126,56
2026-02-16,3,658,103,56,31
2026-02-16,4,894,112,51,35
2026-02-16,5,452,69,38,11
2026-02-16,6,980,144,77,41
2026-02-17,1,1870,280,136,62
2026-02-17,2,1467,181,105,47
2026-02-17,3,760,118,54,37
2026-02-17,4,744,87,39,35
2026-02-17,5,503,69,37,13
2026-02-17,6,1170,176,84,40
2026-02-18,1,1728,208,102,64
2026-02-18,2,1412,210,122,40
2026-02-18,3,520,60,35,28
2026-02-18,4,625,66,35,25
2026-02-18,5,563,72,33,16
2026-02-18,6,864,120,70,30
2026-02-19,1,1530,183,98,56
2026-02-19,2,1435,221,116,41
2026-02-19,3,602,61,33,31
2026-02-19,4,633,82,41,24
2026-02-19,5,466,73,34,13
2026-02-19,6,901,128,76,37
2026-02-20,1,1245,157,80,43
2026-02-20,2,1298,177,82,36
2026-02-20,3,701,84,47,35
2026-02-20,4,620,98,46,29
2026-02-20,5,376,47,23,11
2026-02-20,6,984,121,68,32
2026-02-21,1,1753,180,101,63
2026-02-21,2,1081,146,78,29
2026-02-21,3,637,98,44,36
2026-02-21,4,889,127,67,37
2026-02-21,5,493,55,31,11
2026-02-21,6,1013,112,58,41
2026-02-22,1,1295,162,79,48
2026-02-22,2,1283,135,68,44
2026-02-22,3,726,100,53,34
2026-02-22,4,698,96,49,31
2026-02-22,5,425,43,22,11
2026-02-22,6,805,124,61,28
2026-02-23,1,1480,216,120,45
2026-02-23,2,1170,154,84,40
2026-02-23,3,710,96,54,40
2026-02-23,4,638,77,39,27
2026-02-23,5,439,65,29,12
2026-02-23,6,959,105,59,30
2026-02-24,1,1661,221,117,62
2026-02-24,2,1428,173,90,39
2026-02-24,3,711,109,65,40
2026-02-24,4,776,110,56,34
2026-02-24,5,450,51,26,12
2026-02-24,6,919,127,58,33
2026-02-25,1,1669,198,106,58
2026-02-25,2,1524,165,78,40
2026-02-25,3,575,67,31,25
2026-02-25,4,798,85,44,31
2026-02-25,5,489,52,25,14
2026-02-25,6,801,101,51,33
2026-02-26,1,1504,151,82,54
2026-02-26,2,1039,108,63,33
2026-02-26,3,551,86,45,30
2026-02-26,4,680,105,61,31
2026-02-26,5,459,52,24,13
2026-02-26,6,889,112,57,38
2026-02-27,1,1611,162,83,49
2026-02-27,2,1359,187,97,35
2026-02-27,3,474,68,31,23
2026-02-27,4,836,133,62,39
2026-02-27,5,455,56,29,13
2026-02-27,6,971,101,46,38
2026-02-28,1,1148,154,88,35
2026-02-28,2,1198,176,80,39
2026-02-28,3,650,73,33,32
2026-02-28,4,631,83,37,26
2026-02-28,5,417,47,27,11
2026-02-28,6,730,112,56,28
2026-03-01,1,1135,167,80,43
2026-03-01,2,1019,130,74,33
2026-03-01,3,570,74,40,32
2026-03-01,4,763,79,42,29
2026-03-01,5,454,62,33,13
2026-03-01,6,979,117,56,34
2026-03-02,1,1290,138,80,50
2026-03-02,2,972,104,61,30
2026-03-02,3,482,49,22,23
2026-03-02,4,789,102,50,29
2026-03-02,5,433,55,27,12
2026-03-02,6,1030,148,85,32
2026-03-03,1,1356,172,92,50
2026-03-03,2,1026,143,73,33
2026-03-03,3,513,74,33,26
2026-03-03,4,553,81,42,25
2026-03-03,5,456,57,32,10
2026-03-03,6,777,79,38,33
2026-03-04,1,1313,186,86,44
2026-03-04,2,1126,157,90,29
2026-03-04,3,512,74,43,25
2026-03-04,4,709,84,39,28
2026-03-04,5,336,45,23,9
2026-03-04,6,955,152,86,42
2026-03-05,1,1099,158,72,43
2026-03-05,2,1238,151,72,38
2026-03-05,3,575,72,41,24
2026-03-05,4,692,101,45,31
2026-03-05,5,457,60,33,10
2026-03-05,6,756,94,46,31
2026-03-06,1,1360,168,76,45
2026-03-06,2,1279,157,84,34
2026-03-06,3,462,47,21,21
2026-03-06,4,546,58,33,22
2026-03-06,5,425,57,25,12
2026-03-06,6,863,120,61,29
2026-03-07,1,1511,227,111,57
2026-03-07,2,1066,147,71,34
2026-03-07,3,546,80,39,31
2026-03-07,4,556,69,31,19
2026-03-07,5,404,40,18,11
2026-03-07,6,909,98,51,30
2026-03-08,1,1098,112,52,31
2026-03-08,2,1240,148,83,35
2026-03-08,3,620,88,42,32
2026-03-08,4,518,68,37,19
2026-03-08,5,357,56,25,10
2026-03-08,6,801,117,58,29
2026-03-09,1,1118,163,88,35
2026-03-09,2,1024,141,77,34
2026-03-09,3,467,54,31,26
2026-03-09,4,731,74,41,29
2026-03-09,5,426,51,28,10
2026-03-09,6,783,118,54,25
2026-03-10,1,1174,140,64,40
2026-03-10,2,997,148,71,34
2026-03-10,3,457,51,27,21
2026-03-10,4,639,99,59,25
2026-03-10,5,367,46,23,9
2026-03-10,6,698,76,43,24
2026-03-11,1,1530,226,107,47
2026-03-11,2,1282,188,93,43
2026-03-11,3,469,52,30,20
2026-03-11,4,676,67,37,28
2026-03-11,5,446,69,33,13
2026-03-11,6,667,74,43,27
2026-03-12,1,1273,166,92,40
2026-03-12,2,1061,164,95,33
2026-03-12,3,579,71,38,29
2026-03-12,4,686,74,34,24
2026-03-12,5,408,49,27,12
2026-03-12,6,811,115,52,32
2026-03-13,1,1371,177,104,42
2026-03-13,2,1217,155,83,35
2026-03-13,3,491,53,24,28
2026-03-13,4,565,86,48,20
2026-03-13,5,449,52,24,10
2026-03-13,6,692,95,47,25
2026-03-14,1,1027,126,66,35
2026-03-14,2,912,122,72,22
2026-03-14,3,449,56,32,24
2026-03-14,4,697,71,37,27
2026-03-14,5,391,51,26,10
2026-03-14,6,861,113,67,27
2026-03-15,1,1298,131,67,43
2026-03-15,2,1299,186,109,45
2026-03-15,3,465,60,32,20
2026-03-15,4,504,66,33,22
2026-03-15,5,354,36,17,9
2026-03-15,6,958,101,53,30
2026-03-16,1,1520,211,118,45
2026-03-16,2,984,115,61,25
2026-03-16,3,587,84,47,30
2026-03-16,4,576,71,33,20
2026-03-16,5,400,42,21,11
2026-03-16,6,837,129,62,28
2026-03-17,1,1454,205,109,57
2026-03-17,2,1076,145,70,30
2026-03-17,3,520,72,39,26
2026-03-17,4,593,64,30,26
2026-03-17,5,349,47,24,7
2026-03-17,6,928,108,60,33
2026-03-18,1,1294,185,106,45
2026-03-18,2,1226,150,76,31
2026-03-18,3,460,54,26,19
2026-03-18,4,744,104,57,34
2026-03-18,5,410,62,32,12
2026-03-18,6,912,107,60,40
2026-03-19,1,1187,131,67,39
2026-03-19,2,921,94,51,29
2026-03-19,3,574,66,39,32
2026-03-19,4,714,78,36,27
2026-03-19,5,368,52,24,9
2026-03-19,6,689,95,42,25
2026-03-20,1,1075,169,93,35
2026-03-20,2,991,123,70,32
2026-03-20,3,539,72,40,26
2026-03-20,4,703,76,37,30
2026-03-20,5,414,46,20,12
2026-03-20,6,709,103,51,29
2026-03-21,1,1093,148,70,34
2026-03-21,2,1000,117,64,29
2026-03-21,3,601,90,43,34
2026-03-21,4,534,74,38,19
2026-03-21,5,385,50,29,11
2026-03-21,6,655,85,40,28
2026-03-22,1,1357,216,126,49
2026-03-22,2,1068,126,62,34
2026-03-22,3,555,70,33,26
2026-03-22,4,659,85,44,26
2026-03-22,5,412,46,27,10
2026-03-22,6,681,75,43,28
2026-03-23,1,1493,159,90,49
2026-03-23,2,1111,156,91,37
2026-03-23,3,614,80,36,30
2026-03-23,4,664,74,37,27
2026-03-23,5,342,40,18,8
2026-03-23,6,657,80,44,23
2026-03-24,1,1311,184,83,38
2026-03-24,2,1074,125,70,34
2026-03-24,3,537,59,30,25
2026-03-24,4,653,94,52,25
2026-03-24,5,449,71,37,11
2026-03-24,6,681,99,46,25
2026-03-25,1,1104,138,71,31
2026-03-25,2,983,145,78,30
2026-03-25,3,425,45,23,18
2026-03-25,4,686,81,41,31
2026-03-25,5,440,49,25,12
2026-03-25,6,743,78,37,30
2026-03-26,1,1347,178,97,49
2026-03-26,2,1056,141,71,29
2026-03-26,3,492,77,43,25
2026-03-26,4,581,73,34,24
2026-03-26,5,400,56,28,12
2026-03-26,6,671,70,33,22
2026-03-27,1,1202,174,101,40
2026-03-27,2,1033,147,85,29
2026-03-27,3,424,57,31,21
2026-03-27,4,559,75,38,20
2026-03-27,5,332,51,25,8
2026-03-27,6,693,96,49,27
2026-03-28,1,1465,208,106,42
2026-03-28,2,1341,199,94,36
2026-03-28,3,572,60,35,26
2026-03-28,4,573,84,49,27
2026-03-28,5,402,47,25,9
2026-03-28,6,858,137,64,33
2026-03-29,1,1216,144,64,46
2026-03-29,2,1357,179,103,34
2026-03-29,3,621,92,49,30
2026-03-29,4,586,72,34,24
2026-03-29,5,338,40,23,9
2026-03-29,6,944,136,71,34
2026-03-30,1,1093,113,57,34
2026-03-30,2,976,104,60,27
2026-03-30,3,644,102,46,34
2026-03-30,4,608,78,43,29
2026-03-30,5,456,65,38,10
2026-03-30,6,756,104,53,29
2026-03-31,1,1418,165,94,46
2026-03-31,2,1227,181,101,36
2026-03-31,3,483,70,37,27
2026-03-31,4,696,72,32,30
2026-03-31,5,388,60,32,10
2026-03-31,6,724,94,43,23
2026-04-01,1,1156,151,85,38
2026-04-01,2,1297,167,88,33
2026-04-01,3,498,75,43,25
2026-04-01,4,795,92,55,35
2026-04-01,5,442,58,26,11
2026-04-01,6,1010,140,77,33
2026-04-02,1,1450,160,73,57
2026-04-02,2,1028,151,73,34
2026-04-02,3,550,63,33,28
2026-04-02,4,550,66,37,21
2026-04-02,5,465,59,34,12
2026-04-02,6,834,99,58,36
2026-04-03,1,1391,180,87,46
2026-04-03,2,1447,156,85,50
2026-04-03,3,625,93,42,34
2026-04-03,4,702,82,39,32
2026-04-03,5,409,60,34,9
2026-04-03,6,958,125,59,39
2026-04-04,1,1616,210,115,49
2026-04-04,2,1131,131,76,32
2026-04-04,3,558,59,30,23
2026-04-04,4,772,100,56,35
2026-04-04,5,392,52,26,9
2026-04-04,6,754,99,47,30
2026-04-05,1,1191,140,63,42
2026-04-05,2,1388,160,75,44
2026-04-05,3,484,54,32,23
2026-04-05,4,702,71,37,25
2026-04-05,5,359,42,20,10
2026-04-05,6,791,126,74,28
2026-04-06,1,1657,174,87,52
2026-04-06,2,1359,181,102,42
2026-04-06,3,685,81,42,37
2026-04-06,4,818,125,62,30
2026-04-06,5,375,54,26,9
2026-04-06,6,1059,152,71,37
2026-04-07,1,1714,239,109,66
2026-04-07,2,1485,155,73,48
2026-04-07,3,480,57,28,20
2026-04-07,4,726,74,39,28
2026-04-07,5,492,62,33,14
2026-04-07,6,873,122,63,36
2026-04-08,1,1651,244,135,49
2026-04-08,2,1494,226,125,39
2026-04-08,3,490,56,31,26
2026-04-08,4,839,121,68,36
2026-04-08,5,510,52,24,12
2026-04-08,6,911,138,72,29
2026-04-09,1,1332,150,83,39
2026-04-09,2,1210,142,80,41
2026-04-09,3,592,63,30,30
2026-04-09,4,649,65,30,23
2026-04-09,5,375,48,21,10
2026-04-09,6,949,116,67,31
2026-04-10,1,1564,199,92,53
2026-04-10,2,1373,177,99,42
2026-04-10,3,695,71,37,33
2026-04-10,4,771,103,61,28
2026-04-10,5,476,74,35,13
2026-04-10,6,1142,121,72,44
2026-04-11,1,1604,205,112,54
2026-04-11,2,1285,160,86,42
2026-04-11,3,604,76,42,29
2026-04-11,4,839,105,60,36
2026-04-11,5,505,74,40,12
2026-04-11,6,1073,119,58,45
2026-04-12,1,1624,240,137,50
2026-04-12,2,1171,150,72,30
2026-04-12,3,510,52,27,25
2026-04-12,4,623,70,36,23
2026-04-12,5,395,60,32,10
2026-04-12,6,843,133,78,35
2026-04-13,1,1373,164,95,53
2026-04-13,2,1512,170,84,44
2026-04-13,3,551,71,40,30
2026-04-13,4,850,97,57,37
2026-04-13,5,462,57,27,14
2026-04-13,6,1105,163,81,36
2026-04-14,1,1758,226,121,65
2026-04-14,2,1219,187,88,40
2026-04-14,3,743,88,49,33
2026-04-14,4,656,100,58,28
2026-04-14,5,426,51,29,12
2026-04-14,6,1051,162,91,44
2026-04-15,1,1447,145,65,52
2026-04-15,2,1525,238,120,45
2026-04-15,3,549,58,34,29
2026-04-15,4,897,106,62,40
2026-04-15,5,558,61,31,14
2026-04-15,6,1070,123,68,47
2026-04-16,1,1419,163,82,41
2026-04-16,2,1292,165,79,41
2026-04-16,3,541,65,33,22
2026-04-16,4,910,137,67,39
2026-04-16,5,396,57,28,12
2026-04-16,6,866,121,62,28
2026-04-17,1,1542,177,84,48
2026-04-17,2,1379,208,101,38
2026-04-17,3,702,87,49,34
2026-04-17,4,746,75,34,29
2026-04-17,5,501,53,30,12
2026-04-17,6,1206,145,81,48
2026-04-18,1,1846,214,105,59
2026-04-18,2,1219,187,107,33
2026-04-18,3,560,75,44,28
2026-04-18,4,892,109,54,40
2026-04-18,5,507,68,39,13
2026-04-18,6,905,104,57,33
2026-04-19,1,1933,259,151,61
2026-04-19,2,1612,187,98,46
2026-04-19,3,550,62,33,26
2026-04-19,4,708,85,46,31
2026-04-19,5,492,74,40,15
2026-04-19,6,1026,132,64,34
2026-04-20,1,1601,248,138,45
2026-04-20,2,1567,206,109,39
2026-04-20,3,550,65,34,27
2026-04-20,4,967,141,83,40
2026-04-20,5,418,46,26,9
2026-04-20,6,1123,114,53,40
2026-04-21,1,1426,225,102,42
2026-04-21,2,1593,184,84,39
2026-04-21,3,744,92,52,33
2026-04-21,4,690,79,36,25
2026-04-21,5,575,63,29,17
2026-04-21,6,1199,165,88,42
2026-04-22,1,1528,158,88,58
2026-04-22,2,1278,167,97,36
2026-04-22,3,627,98,45,36
2026-04-22,4,780,97,45,28
2026-04-22,5,522,70,40,15
2026-04-22,6,887,122,60,36
2026-04-23,1,2054,237,139,69
2026-04-23,2,1509,223,111,38
2026-04-23,3,810,83,48,40
2026-04-23,4,776,80,44,27
2026-04-23,5,602,84,39,18
2026-04-23,6,1212,174,91,47
2026-04-24,1,1693,247,113,59
2026-04-24,2,1475,153,81,51
2026-04-24,3,563,85,49,25
2026-04-24,4,859,128,60,34
2026-04-24,5,465,52,28,12
2026-04-24,6,1003,105,49,35
2026-04-25,1,1746,193,91,65
2026-04-25,2,1628,219,129,51
2026-04-25,3,586,90,52,32
2026-04-25,4,833,112,56,32
2026-04-25,5,589,87,41,14
2026-04-25,6,1250,183,84,45
2026-04-26,1,1865,212,122,68
2026-04-26,2,1590,173,87,40
2026-04-26,3,662,74,41,31
2026-04-26,4,894,116,63,35
2026-04-26,5,431,64,32,10
2026-04-26,6,1213,171,90,51
2026-04-27,1,2063,273,124,73
2026-04-27,2,1532,236,114,45
2026-04-27,3,732,102,53,39
2026-04-27,4,930,121,66,34
2026-04-27,5,633,78,46,16
2026-04-27,6,1253,127,69,44
2026-04-28,1,1889,282,158,72
2026-04-28,2,1418,177,82,48
2026-04-28,3,774,117,53,36
2026-04-28,4,791,106,56,27
2026-04-28,5,569,83,40,17
2026-04-28,6,1099,170,91,41
2026-04-29,1,1669,192,100,48
2026-04-29,2,1742,178,93,53
2026-04-29,3,735,83,45,31
2026-04-29,4,991,121,56,43
2026-04-29,5,521,56,27,13
2026-04-29,6,1253,173,98,45
2026-04-30,1,1877,263,140,54
2026-04-30,2,1274,189,112,36
2026-04-30,3,853,113,60,40
2026-04-30,4,876,114,52,40
2026-04-30,5,520,62,31,14
2026-04-30,6,1216,156,72,38
2026-05-01,1,2050,309,150,75
2026-05-01,2,1677,172,96,56
2026-05-01,3,883,103,52,40
2026-05-01,4,994,115,62,40
2026-05-01,5,617,90,43,19
2026-05-01,6,1221,138,82,52
2026-05-02,1,2061,239,141,63
2026-05-02,2,1708,195,98,43
2026-05-02,3,909,144,82,41
2026-05-02,4,949,127,59,38
2026-05-02,5,537,66,36,16
2026-05-02,6,1161,142,80,49
2026-05-03,1,1744,243,120,49
2026-05-03,2,1492,186,97,39
2026-05-03,3,853,101,52,39
2026-05-03,4,856,102,57,34
2026-05-03,5,505,70,32,14
2026-05-03,6,1044,144,74,42
2026-05-04,1,1755,261,156,53
2026-05-04,2,1766,253,123,60
2026-05-04,3,792,119,61,35
2026-05-04,4,1028,151,85,43
2026-05-04,5,488,57,30,13
2026-05-04,6,1091,153,91,37
2026-05-05,1,2128,309,139,72
2026-05-05,2,1492,182,92,49
2026-05-05,3,720,109,57,36
2026-05-05,4,925,107,56,35
2026-05-05,5,612,76,44,14
2026-05-05,6,1223,174,79,52
2026-05-06,1,1689,188,105,65
2026-05-06,2,1780,254,115,47
2026-05-06,3,764,85,46,34
2026-05-06,4,894,140,70,41
2026-05-06,5,642,100,53,19
2026-05-06,6,1498,202,119,58
2026-05-07,1,2153,219,128,65
2026-05-07,2,1742,213,124,56
2026-05-07,3,767,110,58,37
2026-05-07,4,951,122,55,43
2026-05-07,5,478,59,32,12
2026-05-07,6,1320,206,96,55
2026-05-08,1,2021,311,147,77
2026-05-08,2,1452,160,91,47
2026-05-08,3,700,78,40,33
2026-05-08,4,1184,125,67,54
2026-05-08,5,613,89,44,15
2026-05-08,6,1296,174,78,55
2026-05-09,1,2150,279,166,76
2026-05-09,2,1644,189,87,47
2026-05-09,3,788,93,53,34
2026-05-09,4,951,118,68,33
2026-05-09,5,482,59,34,13
2026-05-09,6,1415,151,90,60
2026-05-10,1,2398,326,169,84
2026-05-10,2,1498,199,112,45
2026-05-10,3,788,85,42,38
2026-05-10,4,812,98,55,31
2026-05-10,5,697,111,55,19
2026-05-10,6,1347,149,86,50
2026-05-11,1,1804,234,122,66
2026-05-11,2,1727,233,112,46
2026-05-11,3,936,96,49,39
2026-05-11,4,1006,149,79,38
2026-05-11,5,637,83,46,17
2026-05-11,6,1516,229,115,54
2026-05-12,1,2081,295,139,64
2026-05-12,2,1468,191,100,40
2026-05-12,3,737,95,48,34
2026-05-12,4,790,86,47,37
2026-05-12,5,536,64,37,13
2026-05-12,6,1012,155,71,42
2026-05-13,1,1905,212,124,73
2026-05-13,2,1764,214,101,49
2026-05-13,3,911,120,55,44
2026-05-13,4,924,128,75,42
2026-05-13,5,594,62,33,18
2026-05-13,6,1078,152,83,41
2026-05-14,1,1759,197,115,67
2026-05-14,2,1979,276,142,57
